
Category,Manufacturer,Model,Release_Year,Architecture,Cores,Threads,Base_Clock_GHz,Boost_Clock_GHz,Process_nm,TDP_W,Cache_MB,GPU_Integrated
Laptop,Intel,Core i7-3840QM,2013,Ivy Bridge,4,8,2.8,3.8,22,45,8,Intel HD Graphics 4000
Laptop,Intel,Core i7-3820QM,2012,Ivy Bridge,4,8,2.7,3.7,22,45,8,Intel HD Graphics 4000
Laptop,Intel,Core i7-2960XM,2011,Sandy Bridge,4,8,2.7,3.7,32,55,8,Intel HD Graphics 3000
Laptop,Intel,Core i7-2860QM,2011,Sandy Bridge,4,8,2.5,3.6,32,45,8,Intel HD Graphics 3000
Laptop,Intel,Core i7-2820QM,2011,Sandy Bridge,4,8,2.3,3.4,32,45,8,Intel HD Graphics 3000

# Intel Core i5 Series
Laptop,Intel,Core i5-14500H,2024,Raptor Lake Refresh,12,16,2.5,4.9,10,45,20,Intel Iris Xe
Laptop,Intel,Core i5-13500H,2023,Raptor Lake,12,16,2.6,4.7,10,45,18,Intel Iris Xe
Laptop,Intel,Core i5-12600HX,2022,Alder Lake,12,16,2.5,4.6,10,55,18,Intel UHD Graphics
Laptop,Intel,Core i5-12500H,2022,Alder Lake,12,16,2.5,4.5,10,45,18,Intel Iris Xe
Laptop,Intel,Core i5-11500H,2021,Tiger Lake,6,12,2.9,4.6,10,45,12,Intel Iris Xe
Laptop,Intel,Core i5-11400H,2021,Tiger Lake,6,12,2.7,4.5,10,45,12,Intel Iris Xe
Laptop,Intel,Core i5-10500H,2020,Comet Lake,6,12,2.5,4.5,14,45,12,Intel UHD Graphics
Laptop,Intel,Core i5-10300H,2020,Comet Lake,4,8,2.5,4.5,14,45,8,Intel UHD Graphics
Laptop,Intel,Core i5-9400H,2019,Coffee Lake Refresh,4,8,2.5,4.3,14,45,8,Intel UHD Graphics 630
Laptop,Intel,Core i5-9300H,2019,Coffee Lake Refresh,4,8,2.4,4.1,14,45,8,Intel UHD Graphics 630
Laptop,Intel,Core i5-8400H,2018,Coffee Lake,4,8,2.5,4.2,14,45,8,Intel UHD Graphics 630
Laptop,Intel,Core i5-8300H,2018,Coffee Lake,4,8,2.3,4.0,14,45,8,Intel UHD Graphics 630
Laptop,Intel,Core i5-7440HQ,2017,Kaby Lake,4,4,2.8,3.8,14,45,6,Intel HD Graphics 630
Laptop,Intel,Core i5-7300HQ,2017,Kaby Lake,4,4,2.5,3.5,14,45,6,Intel HD Graphics 630
Laptop,Intel,Core i5-6440HQ,2015,Skylake,4,4,2.6,3.5,14,45,6,Intel HD Graphics 530
Laptop,Intel,Core i5-6300HQ,2015,Skylake,4,4,2.3,3.2,14,45,6,Intel HD Graphics 530
Laptop,Intel,Core i5-4340M,2014,Haswell,2,4,2.9,3.6,22,37,3,Intel HD Graphics 4600
Laptop,Intel,Core i5-4310M,2014,Haswell,2,4,2.7,3.4,22,37,3,Intel HD Graphics 4600
Laptop,Intel,Core i5-4300M,2013,Haswell,2,4,2.6,3.3,22,37,3,Intel HD Graphics 4600
Laptop,Intel,Core i5-3380M,2013,Ivy Bridge,2,4,2.9,3.6,22,35,3,Intel HD Graphics 4000
Laptop,Intel,Core i5-3360M,2012,Ivy Bridge,2,4,2.8,3.5,22,35,3,Intel HD Graphics 4000
Laptop,Intel,Core i5-3320M,2012,Ivy Bridge,2,4,2.6,3.3,22,35,3,Intel HD Graphics 4000
Laptop,Intel,Core i5-2540M,2011,Sandy Bridge,2,4,2.6,3.3,32,35,3,Intel HD Graphics 3000
Laptop,Intel,Core i5-2520M,2011,Sandy Bridge,2,4,2.5,3.2,32,35,3,Intel HD Graphics 3000

# Intel Core i3 Series
Laptop,Intel,Core i3-13100H,2023,Raptor Lake,10,12,2.4,4.5,10,45,12,Intel Iris Xe
Laptop,Intel,Core i3-12300H,2022,Alder Lake,8,12,2.3,4.2,10,45,12,Intel Iris Xe
Laptop,Intel,Core i3-11300H,2021,Tiger Lake,4,8,3.1,4.4,10,35,8,Intel Iris Xe
Laptop,Intel,Core i3-10110U,2019,Comet Lake,2,4,2.1,4.1,14,15,4,Intel UHD Graphics
Laptop,Intel,Core i3-8145U,2018,Whiskey Lake,2,4,2.1,3.9,14,15,4,Intel UHD Graphics 620
Laptop,Intel,Core i3-8130U,2018,Kaby Lake Refresh,2,4,2.2,3.4,14,15,4,Intel UHD Graphics 620
Laptop,Intel,Core i3-7130U,2017,Kaby Lake,2,4,2.7,2.7,14,15,3,Intel HD Graphics 620
Laptop,Intel,Core i3-7100U,2016,Kaby Lake,2,4,2.4,2.4,14,15,3,Intel HD Graphics 620
Laptop,Intel,Core i3-6100H,2015,Skylake,2,4,2.7,2.7,14,35,3,Intel HD Graphics 530
Laptop,Intel,Core i3-6100U,2015,Skylake,2,4,2.3,2.3,14,15,3,Intel HD Graphics 520
Laptop,Intel,Core i3-5010U,2015,Broadwell,2,4,2.1,2.1,14,15,3,Intel HD Graphics 5500
Laptop,Intel,Core i3-4030U,2014,Haswell,2,4,1.9,1.9,22,15,3,Intel HD Graphics 4400
Laptop,Intel,Core i3-4000M,2013,Haswell,2,4,2.4,2.4,22,37,3,Intel HD Graphics 4600
Laptop,Intel,Core i3-3130M,2013,Ivy Bridge,2,4,2.6,2.6,22,35,3,Intel HD Graphics 4000
Laptop,Intel,Core i3-3120M,2012,Ivy Bridge,2,4,2.5,2.5,22,35,3,Intel HD Graphics 4000
Laptop,Intel,Core i3-2370M,2012,Sandy Bridge,2,4,2.4,2.4,32,35,3,Intel HD Graphics 3000
Laptop,Intel,Core i3-2350M,2011,Sandy Bridge,2,4,2.3,2.3,32,35,3,Intel HD Graphics 3000

# Intel Ultraportable Series
Laptop,Intel,Core i9-13900H,2023,Raptor Lake,14,20,2.6,5.4,10,45,24,Intel Iris Xe
Laptop,Intel,Core i7-1370P,2023,Raptor Lake,14,20,1.9,5.2,10,28,24,Intel Iris Xe
Laptop,Intel,Core i7-1360P,2023,Raptor Lake,12,16,2.2,5.0,10,28,18,Intel Iris Xe
Laptop,Intel,Core i5-1340P,2023,Raptor Lake,12,16,1.9,4.6,10,28,18,Intel Iris Xe
Laptop,Intel,Core i5-1340P,2023,Raptor Lake,12,16,1.9,4.6,10,28,18,Intel Iris Xe
Laptop,Intel,Core i3-1315U,2023,Raptor Lake,6,8,1.2,4.5,10,15,10,Intel UHD Graphics
Laptop,Intel,Core i7-1280P,2022,Alder Lake,14,20,1.8,4.8,10,28,24,Intel Iris Xe
Laptop,Intel,Core i7-1270P,2022,Alder Lake,12,16,2.2,4.8,10,28,18,Intel Iris Xe
Laptop,Intel,Core i7-1260P,2022,Alder Lake,12,16,2.1,4.7,10,28,18,Intel Iris Xe
Laptop,Intel,Core i5-1250P,2022,Alder Lake,12,16,1.7,4.4,10,28,12,Intel Iris Xe
Laptop,Intel,Core i5-1240P,2022,Alder Lake,12,16,1.7,4.4,10,28,12,Intel Iris Xe
Laptop,Intel,Core i3-1215U,2022,Alder Lake,6,8,1.2,4.4,10,15,10,Intel UHD Graphics
Laptop,Intel,Core i7-1195G7,2021,Tiger Lake,4,8,2.9,5.0,10,28,12,Intel Iris Xe
Laptop,Intel,Core i7-1185G7,2020,Tiger Lake,4,8,3.0,4.8,10,28,12,Intel Iris Xe
Laptop,Intel,Core i7-1165G7,2020,Tiger Lake,4,8,2.8,4.7,10,28,12,Intel Iris Xe
Laptop,Intel,Core i5-1155G7,2021,Tiger Lake,4,8,2.5,4.5,10,28,8,Intel Iris Xe
Laptop,Intel,Core i5-1145G7,2020,Tiger Lake,4,8,2.6,4.4,10,28,8,Intel Iris Xe
Laptop,Intel,Core i5-1135G7,2020,Tiger Lake,4,8,2.4,4.2,10,28,8,Intel Iris Xe
Laptop,Intel,Core i3-1125G4,2020,Tiger Lake,4,8,2.0,3.7,10,28,8,Intel UHD Graphics
Laptop,Intel,Core i3-1115G4,2020,Tiger Lake,2,4,3.0,4.1,10,28,6,Intel UHD Graphics
Laptop,Intel,Core i7-1068NG7,2020,Ice Lake,4,8,2.3,4.1,10,28,8,Intel Iris Plus
Laptop,Intel,Core i7-1065G7,2019,Ice Lake,4,8,1.3,3.9,10,15,8,Intel Iris Plus
Laptop,Intel,Core i5-1035G7,2019,Ice Lake,4,8,1.2,3.7,10,15,6,Intel Iris Plus
Laptop,Intel,Core i5-1035G4,2019,Ice Lake,4,8,1.1,3.7,10,15,6,Intel Iris Plus
Laptop,Intel,Core i5-1035G1,2019,Ice Lake,4,8,1.0,3.6,10,15,6,Intel UHD Graphics
Laptop,Intel,Core i3-1005G1,2019,Ice Lake,2,4,1.2,3.4,10,15,4,Intel UHD Graphics
Laptop,Intel,Core i7-8665U,2019,Whiskey Lake,4,8,1.9,4.8,14,15,8,Intel UHD Graphics 620
Laptop,Intel,Core i7-8565U,2018,Whiskey Lake,4,8,1.8,4.6,14,15,8,Intel UHD Graphics 620
Laptop,Intel,Core i5-8365U,2019,Whiskey Lake,4,8,1.6,4.1,14,15,6,Intel UHD Graphics 620
Laptop,Intel,Core i5-8265U,2018,Whiskey Lake,4,8,1.6,3.9,14,15,6,Intel UHD Graphics 620

# AMD Ryzen 9 Series
Laptop,AMD,Ryzen 9 8945HS,2024,Zen 5,12,24,4.0,5.5,4,45,32,AMD Radeon 870M
Laptop,AMD,Ryzen 9 8945HX,2024,Zen 5,16,32,3.5,5.6,4,55,80,AMD Radeon 890M
Laptop,AMD,Ryzen 9 7945HX3D,2023,Zen 4,16,32,2.3,5.4,5,55,144,AMD Radeon 780M
Laptop,AMD,Ryzen 9 7945HX,2023,Zen 4,16,32,2.5,5.4,5,55,80,AMD Radeon 780M
Laptop,AMD,Ryzen 9 7940HS,2023,Zen 4,8,16,4.0,5.2,5,35,16,AMD Radeon 780M
Laptop,AMD,Ryzen 9 6980HX,2022,Zen 3+,8,16,3.3,5.0,6,45,20,AMD Radeon 680M
Laptop,AMD,Ryzen 9 6900HX,2022,Zen 3+,8,16,3.3,4.9,6,45,20,AMD Radeon 680M
Laptop,AMD,Ryzen 9 6900HS,2022,Zen 3+,8,16,3.3,4.9,6,35,20,AMD Radeon 680M
Laptop,AMD,Ryzen 9 5980HX,2021,Zen 3,8,16,3.3,4.8,7,45,20,AMD Radeon Graphics
Laptop,AMD,Ryzen 9 5980HS,2021,Zen 3,8,16,3.0,4.8,7,35,20,AMD Radeon Graphics
Laptop,AMD,Ryzen 9 5900HX,2021,Zen 3,8,16,3.3,4.6,7,45,20,AMD Radeon Graphics
Laptop,AMD,Ryzen 9 5900HS,2021,Zen 3,8,16,3.0,4.6,7,35,20,AMD Radeon Graphics
Laptop,AMD,Ryzen 9 4900H,2020,Zen 2,8,16,3.3,4.4,7,45,12,AMD Radeon Graphics
Laptop,AMD,Ryzen 9 4900HS,2020,Zen 2,8,16,3.0,4.3,7,35,12,AMD Radeon Graphics

# AMD Ryzen 7 Series
Laptop,AMD,Ryzen 7 8840HS,2024,Zen 5,10,20,3.8,5.3,4,45,24,AMD Radeon 870M
Laptop,AMD,Ryzen 7 8840H,2024,Zen 5,10,20,3.8,5.3,4,45,24,AMD Radeon 870M
Laptop,AMD,Ryzen 7 7840HS,2023,Zen 4,8,16,3.8,5.1,5,35,16,AMD Radeon 780M
Laptop,AMD,Ryzen 7 7840H,2023,Zen 4,8,16,3.8,5.1,5,45,16,AMD Radeon 780M
Laptop,AMD,Ryzen 7 7735HS,2023,Zen 3+,8,16,3.2,4.75,6,35,20,AMD Radeon 680M
Laptop,AMD,Ryzen 7 7735H,2023,Zen 3+,8,16,3.2,4.75,6,45,20,AMD Radeon 680M
Laptop,AMD,Ryzen 7 7735U,2023,Zen 3+,8,16,2.7,4.7,6,15,20,AMD Radeon 680M
Laptop,AMD,Ryzen 7 6800H,2022,Zen 3+,8,16,3.2,4.7,6,45,20,AMD Radeon 680M
Laptop,AMD,Ryzen 7 6800HS,2022,Zen 3+,8,16,3.2,4.7,6,35,20,AMD Radeon 680M
Laptop,AMD,Ryzen 7 6800U,2022,Zen 3+,8,16,2.7,4.7,6,15,20,AMD Radeon 680M
Laptop,AMD,Ryzen 7 5800H,2021,Zen 3,8,16,3.2,4.4,7,45,20,AMD Radeon Graphics
Laptop,AMD,Ryzen 7 5800HS,2021,Zen 3,8,16,2.8,4.4,7,35,20,AMD Radeon Graphics
Laptop,AMD,Ryzen 7 5800U,2021,Zen 3,8,16,1.9,4.4,7,15,20,AMD Radeon Graphics
Laptop,AMD,Ryzen 7 4800H,2020,Zen 2,8,16,2.9,4.2,7,45,12,AMD Radeon Graphics
Laptop,AMD,Ryzen 7 4800HS,2020,Zen 2,8,16,2.9,4.2,7,35,12,AMD Radeon Graphics
Laptop,AMD,Ryzen 7 4800U,2020,Zen 2,8,16,1.8,4.2,7,15,12,AMD Radeon Graphics
Laptop,AMD,Ryzen 7 3750H,2019,Zen+,4,8,2.3,4.0,12,35,6,AMD Radeon Vega 10
Laptop,AMD,Ryzen 7 3700U,2019,Zen+,4,8,2.3,4.0,12,15,6,AMD Radeon Vega 10
Laptop,AMD,Ryzen 7 2800H,2018,Zen,4,8,3.3,3.8,14,45,4,AMD Radeon Vega 11
Laptop,AMD,Ryzen 7 2700U,2017,Zen,4,8,2.2,3.8,14,15,4,AMD Radeon Vega 10

# AMD Ryzen 5 Series
Laptop,AMD,Ryzen 5 8640HS,2024,Zen 5,8,16,3.5,5.0,4,45,16,AMD Radeon 860M
Laptop,AMD,Ryzen 5 8640H,2024,Zen 5,8,16,3.5,5.0,4,45,16,AMD Radeon 860M
Laptop,AMD,Ryzen 5 7640HS,2023,Zen 4,6,12,4.3,5.0,5,35,16,AMD Radeon 760M
Laptop,AMD,Ryzen 5 7640H,2023,Zen 4,6,12,4.3,5.0,5,45,16,AMD Radeon 760M
Laptop,AMD,Ryzen 5 7535HS,2023,Zen 3+,6,12,3.3,4.55,6,35,19,AMD Radeon 660M
Laptop,AMD,Ryzen 5 7535H,2023,Zen 3+,6,12,3.3,4.55,6,45,19,AMD Radeon 660M
Laptop,AMD,Ryzen 5 7535U,2023,Zen 3+,6,12,2.9,4.5,6,15,19,AMD Radeon 660M
Laptop,AMD,Ryzen 5 6600H,2022,Zen 3+,6,12,3.3,4.5,6,45,19,AMD Radeon 660M
Laptop,AMD,Ryzen 5 6600HS,2022,Zen 3+,6,12,3.3,4.5,6,35,19,AMD Radeon 660M
Laptop,AMD,Ryzen 5 6600U,2022,Zen 3+,6,12,2.9,4.5,6,15,19,AMD Radeon 660M
Laptop,AMD,Ryzen 5 5600H,2021,Zen 3,6,12,3.3,4.2,7,45,19,AMD Radeon Graphics
Laptop,AMD,Ryzen 5 5600HS,2021,Zen 3,6,12,3.0,4.2,7,35,19,AMD Radeon Graphics
Laptop,AMD,Ryzen 5 5600U,2021,Zen 3,6,12,2.3,4.2,7,15,19,AMD Radeon Graphics
Laptop,AMD,Ryzen 5 4600H,2020,Zen 2,6,12,3.0,4.0,7,45,11,AMD Radeon Graphics
Laptop,AMD,Ryzen 5 4600HS,2020,Zen 2,6,12,3.0,4.0,7,35,11,AMD Radeon Graphics
Laptop,AMD,Ryzen 5 4600U,2020,Zen 2,6,12,2.1,4.0,7,15,11,AMD Radeon Graphics
Laptop,AMD,Ryzen 5 3580U,2019,Zen+,4,8,2.1,3.7,12,15,6,AMD Radeon Vega 9
Laptop,AMD,Ryzen 5 3550H,2019,Zen+,4,8,2.1,3.7,12,35,6,AMD Radeon Vega 8
Laptop,AMD,Ryzen 5 3500U,2019,Zen+,4,8,2.1,3.7,12,15,6,AMD Radeon Vega 8
Laptop,AMD,Ryzen 5 2600H,2018,Zen,4,8,3.2,3.6,14,45,4,AMD Radeon Vega 8
Laptop,AMD,Ryzen 5 2500U
